graph_type,vertices,edges,algorithm,heap,trial,total_us,insert_count,deletemin_count,decreasekey_count,insert_ns,deletemin_ns,decreasekey_ns
random_sparse,1000,4998,dijkstra,pairing,0,335,1000,1000,1838,53000,82300,45900
random_sparse,1000,4998,dijkstra,fibonacci,0,546,1000,1000,1823,57200,294700,51500
random_sparse,1000,4998,prim,pairing,0,348,1000,1000,2401,59100,59400,65600
random_sparse,1000,4998,prim,fibonacci,0,584,1000,1000,2358,63000,291300,74800
random_dense,1000,19976,dijkstra,pairing,0,457,1000,1000,2599,46600,71500,69500
random_dense,1000,19976,dijkstra,fibonacci,0,689,1000,1000,2618,62300,284200,75600
random_dense,1000,19976,prim,pairing,0,485,1000,1000,3417,69500,58800,87600
random_dense,1000,19976,prim,fibonacci,0,749,1000,1000,3324,68300,294700,104800
grid,900,1740,dijkstra,pairing,0,203,900,900,1142,33300,50100,27300
grid,900,1740,dijkstra,fibonacci,0,426,900,900,1145,54200,253400,30700
grid,900,1740,prim,pairing,0,231,900,900,1426,53500,39300,36100
grid,900,1740,prim,fibonacci,0,393,900,900,1426,33300,221400,42800
synthetic_worst,1000,188499,dijkstra,pairing,0,660,1000,1000,999,60600,33500,26800
synthetic_worst,1000,188499,dijkstra,fibonacci,0,1117,1000,1000,999,61700,290900,23400
synthetic_worst,1000,188499,prim,pairing,0,1499,1000,1000,15249,40800,69600,416600
synthetic_worst,1000,188499,prim,fibonacci,0,1492,1000,1000,15249,71600,220600,369600
random_sparse,1000,4994,dijkstra,pairing,1,345,1000,1000,1818,78600,73700,49800
random_sparse,1000,4994,dijkstra,fibonacci,1,566,1000,1000,1814,37300,324200,53300
random_sparse,1000,4994,prim,pairing,1,326,1000,1000,2434,40900,61500,67500
random_sparse,1000,4994,prim,fibonacci,1,561,1000,1000,2460,40400,284500,74100
random_dense,1000,19978,dijkstra,pairing,1,503,1000,1000,2614,83600,72200,69700
random_dense,1000,19978,dijkstra,fibonacci,1,681,1000,1000,2653,40000,288900,79500
random_dense,1000,19978,prim,pairing,1,514,1000,1000,3462,83500,62000,95900
random_dense,1000,19978,prim,fibonacci,1,777,1000,1000,3423,103000,289600,101100
grid,900,1740,dijkstra,pairing,1,236,900,900,1155,62200,55100,29700
grid,900,1740,dijkstra,fibonacci,1,418,900,900,1159,32900,260800,30500
grid,900,1740,prim,pairing,1,209,900,900,1429,32400,40500,38600
grid,900,1740,prim,fibonacci,1,466,900,900,1415,99100,231300,42000
synthetic_worst,1000,188499,dijkstra,pairing,1,752,1000,1000,999,59200,35900,25100
