graph_type,vertices,edges,algorithm,heap,trials,total_us_mean,total_us_median,insert_count_mean,deletemin_count_mean,decreasekey_count_mean,insert_ns_mean,deletemin_ns_mean,decreasekey_ns_mean,heap_ns_mean,heap_fraction_mean
grid,900,1740,dijkstra,fibonacci,5,430.6,426.0,900.0,900.0,1144.6,54240.0,257400.0,29820.0,341460.0,0.7924613260765759
grid,900,1740,dijkstra,pairing,5,223.4,229.0,900.0,900.0,1143.2,49820.0,53960.0,28960.0,132740.0,0.5919346488783909
grid,4900,9660,dijkstra,fibonacci,5,2609.8,2562.0,4900.0,4900.0,6282.8,291420.0,1622900.0,183340.0,2097660.0,0.8036947867260272
grid,4900,9660,dijkstra,pairing,5,1457.6,1295.0,4900.0,4900.0,6293.6,328020.0,360900.0,181440.0,870360.0,0.5941592681715756
grid,900,1740,prim,fibonacci,5,423.6,417.0,900.0,900.0,1435.0,55240.0,228360.0,42900.0,326500.0,0.7699293855124096
grid,900,1740,prim,pairing,5,224.2,231.0,900.0,900.0,1438.2,45940.0,39820.0,39940.0,125700.0,0.5591630805704801
grid,4900,9660,prim,fibonacci,5,2603.2,2702.0,4900.0,4900.0,7946.2,319860.0,1424520.0,286060.0,2030440.0,0.7797730428416163
grid,4900,9660,prim,pairing,5,1381.2,1287.0,4900.0,4900.0,7928.8,286480.0,256240.0,231360.0,774080.0,0.5609508876479301
random_dense,1000,19976,dijkstra,fibonacci,1,689.0,689.0,1000.0,1000.0,2618.0,62300.0,284200.0,75600.0,422100.0,0.6126269956458635
random_dense,1000,19978,dijkstra,fibonacci,1,681.0,681.0,1000.0,1000.0,2653.0,40000.0,288900.0,79500.0,408400.0,0.5997063142437592
random_dense,1000,19980,dijkstra,fibonacci,1,679.0,679.0,1000.0,1000.0,2701.0,36100.0,293800.0,80700.0,410600.0,0.6047128129602356
random_dense,1000,19984,dijkstra,fibonacci,1,678.0,678.0,1000.0,1000.0,2621.0,39700.0,290800.0,77200.0,407700.0,0.6013274336283185
random_dense,1000,19987,dijkstra,fibonacci,1,671.0,671.0,1000.0,1000.0,2701.0,40600.0,290200.0,77900.0,408700.0,0.6090909090909091
